0:-18.43284948976936:knack,evolved,emerge,priced,speed,bone,deals,steer,hayflowers,mesmerizing,cleaning,wonderfully,bones,conner,composure,interpretation,slight,chandon,lines,harmless
31:-18.284600594144184:resonates,funky,mixed,distant,tightly,earthiness,candies,wreathed,camp,awesomely,al,significantly,comparison,garden,josé,slim,release,cleans,stalkiness,nerve
32:-18.142145642326426:assisted,castel,appeal,foods,icon,balsamic,sausages,softens,sherried,succulence,chunkiness,wachau,rim,flesh,43,marrying,related,brander,subtlety,characterizes
33:-17.021360998526568:cake,massif,boxes,feudo,octopus,2030,kiwi,97,diluted,expressing,smackingly,toastiness,mers,ivy,jarvis,cleansing,low,views,surprising,2016
34:-13.665293627289262:dão,petite,smoky,contrast,moderately,acids,notes,surprising,peel,underripe,far,renders,cider,superb,overwhelmed,wish,barolo,steel,uncomfortable,boisterous
35:-17.41835561503141:travel,wound,succeed,dip,stew,sam,chardophiles,mystery,templar,grain,route,rendition,silk,gym,mediterranean,mazzocco,pacific,blend,stretching,ranch
36:-17.91907569001074:bow,châteaux,expands,net,dew,pollen,magenta,flatness,use,showed,cranberry,suspects,cogno,savored,toughness,expert,vibrance,illuminate,faults,chilled
37:-17.575005995944345:1971,pn,wachau,heighten,intimations,allowed,mahogany,planeta,smooth,neil,brain,st,likable,cardamom,tank,questionable,distinction,consumers,veers,quotient
38:-16.672659098794433:bubbles,mountain,red,section,walla,bring,biodynamic,annotated,squeeze,luminous,saucy,tasted,taster,sultry,designed,queen,opulence,gingerbread,grüners,rings
39:-15.266096258350201:oaken,percentages,fatter,drinkability,riveting,swift,varieties,helps,gather,baking,sour,weedy,thirst,smile,fine,hughes,web,pretty,frizzante,harsh
40:-18.69150037865057:doc,pervading,tickle,proprietor,standard,dance,carmenère,08,gumdrop,abrupt,notoriously,exhibit,birch,shedding,bío,strength,soap,luckily,coaxing,charged
41:-18.030862251323935:2022,stones,record,explain,yountville,experience,verdelho,extraordinary,close,ratio,vespolina,cuisine,medley,man,piano,matched,fattoria,vibrantly,unfolds,nuttiness
42:-16.49844057964359:fraction,clones,golden,bergamot,backs,tangy,complemented,tightness,nonetheless,macabeo,riper,cru,shearing,guavas,hyde,58,unoaked,stiff,matured,signs
43:-17.126192149479238:rowdy,stoniness,lifted,perfumed,dolcetto,pairing,supports,yarra,sandy,sprightly,demure,days,peachy,previous,dullness,whiffs,steely,instantly,excite,parcels
44:-14.251001036289:expression,inoffensive,consumed,peppered,pineapple,end,meursault,dazzling,wet,saturated,castle,harder,fruits,pyrazine,forced,powder,continues,cork,pressed,possibilities
45:-18.24333666235237:96,lane,irresistible,catty,tba,rounding,sandwiches,leonetti,underline,verve,mesmerizing,approach,consisting,gushing,quaffing,calms,ferrari,grape,forces,madeira
46:-16.1750782517045:refermenting,tahitian,helped,modeled,pairs,converge,mixture,district,inky,concentrates,finish,shoot,sinuous,fascinating,hyde,pushed,importance,southern,leafy,cardamom
47:-18.970782207315782:torrontés,exit,treasure,valdez,housed,collection,quarters,sweetish,waxy,distant,born,amontillado,corbières,helped,hayflowers,eiswein,em,wish,mike,soups
48:-18.259910055275867:roriz,bunched,weakness,riper,petit,exclusively,2004,rancher,underlines,greatness,segue,nerello,unfold,youthful,63,shrouds,explores,maturing,use,creep
49:-16.641460262016764:leveled,52,ll,1960s,soup,rhône,obviously,reassuring,lead,2024,lewis,bean,butterscotchy,rests,calamari,rubber,hitting,supportive,allotment,disappointing
-16.930739063736546
